name,email,password,department,year,photo_url
Adriana Rogers,adrianarogers24bco@vetias.ac.in,G<I=<q0I,BCom,1st,https://placekitten.com/364/723
Andrea Costa,andreacosta22bco@vetias.ac.in,8|]hEm!8,BCom,3rd,https://dummyimage.com/479x163
Patrick Hernandez,patrickhernandez22ca@vetias.ac.in,Un|-}KI^,CA,3rd,https://picsum.photos/413/872
Hector Wyatt,hectorwyatt22ca@vetias.ac.in,oj]p#3~?,CA,3rd,https://picsum.photos/278/329
Dr. Tammy Torres,dr.tammytorres23soc@vetias.ac.in,c2%Zkp`j,Sociology,2nd,https://picsum.photos/132/965
Terry Stuart,terrystuart23bba@vetias.ac.in,JlKv|7Vt,BBA,2nd,https://dummyimage.com/434x50
Katherine Jenkins,katherinejenkins23bco@vetias.ac.in,yy^\(Lj7,BCom,2nd,https://picsum.photos/94/943
Cindy Roman,cindyroman22soc@vetias.ac.in,glP'=5#*,Sociology,3rd,https://dummyimage.com/101x186
Cheryl Small,cherylsmall24it@vetias.ac.in,QA]*9qD[,IT,1st,https://picsum.photos/352/712
Dennis Williams,denniswilliams23bba@vetias.ac.in,D__qtp)q,BBA,2nd,https://placekitten.com/668/954
Whitney Jones,whitneyjones23bco@vetias.ac.in,;yVCju?9,BCom,2nd,https://placekitten.com/295/222
Blake Williams,blakewilliams23soc@vetias.ac.in,l:Q4&*59,Sociology,2nd,https://picsum.photos/933/246
Jacob Clark,jacobclark22soc@vetias.ac.in,L\Bi_6Ff,Sociology,3rd,https://placekitten.com/155/304
Jade Bell,jadebell22aid@vetias.ac.in,'_[$Z|7u,AIDS,3rd,https://placekitten.com/626/282
Jesse Cooper,jessecooper22bco@vetias.ac.in,"t*eIDD,B",BCom,3rd,https://placekitten.com/83/782
Kristen Caldwell,kristencaldwell23soc@vetias.ac.in,d=I8M5NA,Sociology,2nd,https://picsum.photos/876/1013
Olivia Sharp,oliviasharp23soc@vetias.ac.in,"4u;FF5f""",Sociology,2nd,https://dummyimage.com/123x381
Theresa Buchanan,theresabuchanan23it@vetias.ac.in,O-ZntVac,IT,2nd,https://dummyimage.com/279x1005
Mary Deleon,marydeleon24bco@vetias.ac.in,ofL3Fc.$,BCom,1st,https://picsum.photos/351/564
Brenda Brown,brendabrown24soc@vetias.ac.in,$)uYv+J_,Sociology,1st,https://dummyimage.com/951x173
