name,email,password,student_id,semester,year,boarding,class_advisor,department
Ellen Miller,ellenmiller23it@vetias.ac.in,.z'4.$'9,23IT1921,Even,2nd,Hostel,Kenneth Woodard,IT
Linda Clarke,lindaclarke23ca@vetias.ac.in,5p{.u+h*,23CA7845,Even,2nd,Day Scholar,Patricia Howard,CA
Natalie Reed,nataliereed24bba@vetias.ac.in,G(ZeHFBo,24BBA5276,Odd,1st,Hostel,Lindsey Quinn,BBA
Margaret Garcia,margaretgarcia22it@vetias.ac.in,a(1g;rvY,22IT5327,Even,3rd,Hostel,Rachel Smith,IT
Lindsey Macias,lindseymacias23bco@vetias.ac.in,9GEZGSd%,23BCO1424,Odd,2nd,Day Scholar,Beth Morgan,BCom
Cindy Dixon,cindydixon22bco@vetias.ac.in,=7Z(`Ay@,22BCO4333,Odd,3rd,Hostel,Robert Rowe,BCom
Rachel Chavez,rachelchavez22ca@vetias.ac.in,2jE3lD^/,22CA3236,Odd,3rd,Day Scholar,Anthony Taylor,CA
Christopher Riddle MD,christopherriddlemd22soc@vetias.ac.in,uJJ.'iM],22SOC1145,Even,3rd,Hostel,Tami Stevens,Sociology
Courtney Garcia,courtneygarcia22soc@vetias.ac.in,s'Z_t+Ip,22SOC8051,Odd,3rd,Day Scholar,Nancy Soto,Sociology
Angela Garcia,angelagarcia24aid@vetias.ac.in,C@R.fk*h,24AID9473,Even,1st,Hostel,Christian Collins,AIDS
Melanie Harris,melanieharris23it@vetias.ac.in,-1yG7zR],23IT1906,Even,2nd,Hostel,Christopher Howe,IT
Monique Wiggins,moniquewiggins23bco@vetias.ac.in,"5R$""vnw""",23BCO1527,Even,2nd,Hostel,Jason Williams,BCom
Curtis Wolf,curtiswolf24aid@vetias.ac.in,ND__M:v],24AID7037,Even,1st,Hostel,Kimberly Carpenter,AIDS
Mark Harding,markharding23bba@vetias.ac.in,cd1x-is`,23BBA8022,Even,2nd,Hostel,Clifford Trevino,BBA
Clayton George,claytongeorge23bba@vetias.ac.in,(_H}nJuh,23BBA8836,Odd,2nd,Day Scholar,Grant Hicks,BBA
Timothy Ingram,timothyingram23aid@vetias.ac.in,\?p[Qy-O,23AID2514,Odd,2nd,Hostel,Jennifer Valdez,AIDS
Matthew Gross,matthewgross23ca@vetias.ac.in,"7:yof?5,",23CA2820,Odd,2nd,Day Scholar,Steven Robinson,CA
Jeffrey Gibson,jeffreygibson23ca@vetias.ac.in,{E_`npyK,23CA2797,Odd,2nd,Hostel,Daniel Miller,CA
Yolanda Griffith,yolandagriffith24it@vetias.ac.in,kN[a([Q.,24IT7890,Even,1st,Hostel,David Hernandez,IT
William Garcia,williamgarcia23aid@vetias.ac.in,r<NcmE@8,23AID3862,Odd,2nd,Hostel,Gregory Jones,AIDS
Manoj Aarya,manojaaryatsr23cse@vetias.ac.in,vetias.ac.in,23CSE5423,Even,2nd,Day Scholar,Sam,CSE

