name,year,department,description,staff
Programming Basics,1,COMPUTER SCIENCE,"Programming Basics is a core topic in the Computer Science domain, focusing on Tree me poor perhaps different this second..",Thomas Reed
Discrete Mathematics,1,COMPUTER SCIENCE,"Discrete Mathematics is a core topic in the Computer Science domain, focusing on Military first door class scientist shake..",Briana Ross
Introduction to Computer Systems,1,COMPUTER SCIENCE,"Introduction to Computer Systems is a core topic in the Computer Science domain, focusing on Moment sure effort law people..",Luis Jackson
Fundamentals of Data Communication,1,COMPUTER SCIENCE,"Fundamentals of Data Communication is a core topic in the Computer Science domain, focusing on Drop draw whatever mother..",Nicole Williams
Software Engineering Principles,1,COMPUTER SCIENCE,"Software Engineering Principles is a core topic in the Computer Science domain, focusing on Treat true play doctor federal radio safe school..",Jonathan Stephens
Data Structures,2,COMPUTER SCIENCE,"Data Structures is a core topic in the Computer Science domain, focusing on To plant until..",Sarah Adams
Algorithms,2,COMPUTER SCIENCE,"Algorithms is a core topic in the Computer Science domain, focusing on Quite onto including..",Allison Lambert
Operating Systems,2,COMPUTER SCIENCE,"Operating Systems is a core topic in the Computer Science domain, focusing on Win fear senior own table..",Alyssa Velez
Database Systems,2,COMPUTER SCIENCE,"Database Systems is a core topic in the Computer Science domain, focusing on Senior employee few economy memory..",Christina Tran
Computer Architecture,2,COMPUTER SCIENCE,"Computer Architecture is a core topic in the Computer Science domain, focusing on Prevent place scientist me born understand TV..",Stephen Hill
Artificial Intelligence,3,COMPUTER SCIENCE,"Artificial Intelligence is a core topic in the Computer Science domain, focusing on Reduce true Mrs forget land..",Thomas Harmon
Machine Learning,3,COMPUTER SCIENCE,"Machine Learning is a core topic in the Computer Science domain, focusing on Just size important..",Gregory Taylor
Cloud Computing,3,COMPUTER SCIENCE,"Cloud Computing is a core topic in the Computer Science domain, focusing on Bill free seem first business..",Charles Baker
Cyber Security,3,COMPUTER SCIENCE,"Cyber Security is a core topic in the Computer Science domain, focusing on Mention community sea some gun..",Christopher Moreno
Big Data Analytics,3,COMPUTER SCIENCE,"Big Data Analytics is a core topic in the Computer Science domain, focusing on Side poor nearly local likely..",Robert Donaldson
Introduction to IT,1,IT,"Introduction to IT is a core topic in the IT domain, focusing on New open out their while development team..",Carlos Johnson
Computer Fundamentals,1,IT,"Computer Fundamentals is a core topic in the IT domain, focusing on Least president parent many education old family..",George Franklin
Programming Basics,1,IT,"Programming Basics is a core topic in the IT domain, focusing on Book charge election..",Veronica Johnson
